LIWC,VADER,corr,pval,n
adverb,vader_pos,-0.01599163892383201,1.2442991264235773e-21,356910
adverb,vader_neg,-0.010030344820309409,2.0669939952039735e-09,356910
adverb,vader_neu,0.021198467827138006,9.15345507927277e-37,356910
adverb,vader_compound,0.002384972592306248,0.15420748964844802,356910
conj,vader_pos,-0.020586496293734297,9.053647660945559e-35,356910
conj,vader_neg,0.02462995686261367,5.0441917386783854e-49,356910
conj,vader_neu,0.005910984903059492,0.0004134351658737251,356910
conj,vader_compound,0.03823796094894845,1.383935069561017e-115,356910
negate,vader_pos,-0.10542151608051513,0.0,356910
negate,vader_neg,0.10237336722410488,0.0,356910
negate,vader_neu,0.04380350616918867,4.312453901522582e-151,356910
negate,vader_compound,-0.09759642520270792,0.0,356910
verb,vader_pos,-0.18604452344973646,0.0,356910
verb,vader_neg,0.06271519468515609,7.907196432477205e-308,356910
verb,vader_neu,0.144468815478153,0.0,356910
verb,vader_compound,-0.1112999661820145,0.0,356910
adj,vader_pos,0.3331220227068293,0.0,356910
adj,vader_neg,0.03154174798959151,3.035693276929359e-79,356910
adj,vader_neu,-0.3405840243545177,0.0,356910
adj,vader_compound,0.12491410668140163,0.0,356910
quantity,vader_pos,-0.05638995455269464,3.465671196733323e-249,356910
quantity,vader_neg,-0.041198718242299176,7.115255562219855e-134,356910
quantity,vader_neu,0.0780731227956348,0.0,356910
quantity,vader_compound,0.01805889105715256,3.8556947385043314e-27,356910
Drives,vader_pos,0.13299999705021426,0.0,356910
Drives,vader_neg,0.010525492607036436,3.209898309215765e-10,356910
Drives,vader_neu,-0.13480052018891317,0.0,356910
Drives,vader_compound,0.0670432230130585,0.0,356910
affiliation,vader_pos,0.022638398699781934,1.0938415567087642e-41,356910
affiliation,vader_neg,-0.010690378877443814,1.6939251034708714e-10,356910
affiliation,vader_neu,-0.015837834932089234,3.0098094743731818e-21,356910
affiliation,vader_compound,0.02676478345809496,1.4387256793279792e-57,356910
achieve,vader_pos,0.20074274707908596,0.0,356910
achieve,vader_neg,-0.04490048325008511,1.1688484413947006e-158,356910
achieve,vader_neu,-0.16884635949634913,0.0,356910
achieve,vader_compound,0.13057676437112706,0.0,356910
power,vader_pos,-0.01854330466556566,1.5855543617873826e-28,356910
power,vader_neg,0.08457321745660491,0.0,356910
power,vader_neu,-0.030199702828904638,8.490384772697286e-73,356910
power,vader_compound,-0.061117563296154004,2.0002028575296812e-292,356910
Cognition,vader_pos,-0.1569200072999063,0.0,356910
Cognition,vader_neg,0.019583701005879764,1.2630975606641163e-31,356910
Cognition,vader_neu,0.1408234365101338,0.0,356910
Cognition,vader_compound,-0.07113235320785687,0.0,356910
allnone,vader_pos,-0.007704438864695375,4.167807785123407e-06,356910
allnone,vader_neg,0.04113032377712697,1.950070586512637e-133,356910
allnone,vader_neu,-0.01596254571478606,1.4715223726730473e-21,356910
allnone,vader_compound,-0.005427770209695506,0.0011841610140691362,356910
cogproc,vader_pos,-0.07693516045831524,0.0,356910
cogproc,vader_neg,-0.00939453418531104,1.993301181429692e-08,356910
cogproc,vader_neu,0.07985960646499801,0.0,356910
cogproc,vader_compound,-0.02731658465942545,6.83399064560889e-60,356910
insight,vader_pos,-0.09329881572845516,0.0,356910
insight,vader_neg,-0.010664570237934204,1.8733417399700812e-10,356910
insight,vader_neu,0.096431198901573,0.0,356910
insight,vader_compound,-0.028258015761644887,5.78193707657407e-64,356910
cause,vader_pos,-0.08632182292004374,0.0,356910
cause,vader_neg,0.017674875176875545,4.5616559221128243e-26,356910
cause,vader_neu,0.07353508805376688,0.0,356910
cause,vader_compound,-0.050447799925033676,8.529055359541928e-200,356910
discrep,vader_pos,-0.06091165992815039,1.8077425159653318e-290,356910
discrep,vader_neg,-0.011356318931875524,1.1634344241564924e-11,356910
discrep,vader_neu,0.06545774561798084,0.0,356910
discrep,vader_compound,-0.018906754516987263,1.36968237975088e-29,356910
tentat,vader_pos,-0.06649785006740883,0.0,356910
tentat,vader_neg,-0.006197867433228249,0.0002132757402082225,356910
tentat,vader_neu,0.06793165909363881,0.0,356910
tentat,vader_compound,-0.023216384551337104,9.396843459909706e-44,356910
certitude,vader_pos,0.1395269379419864,0.0,356910
certitude,vader_neg,-0.021385832687541684,2.1835289135213553e-37,356910
certitude,vader_neu,-0.1229516402506875,0.0,356910
certitude,vader_compound,0.06121298749643236,2.467750532215788e-293,356910
differ,vader_pos,-0.09121435453845483,0.0,356910
differ,vader_neg,0.017959835913997066,7.329169260565962e-27,356910
differ,vader_neu,0.07811244558768388,0.0,356910
